subject,condition,source,source_lag,te_value,target
Fr,dev,7,3,0.051574102281149115,0
Fr,dev,3,4,0.03627793187246975,2
Fr,dev,3,8,0.05308962824114283,6
Fr,stand,5,9,0.043748416868702567,0
Fr,stand,3,4,0.04014798485841897,2
Fr,stand,3,9,0.046798918835097236,6
Go,dev,4,9,0.03682165277567728,0
Go,dev,2,6,0.06244840271505958,1
Go,dev,6,9,0.05714962818243374,2
Go,dev,2,6,0.039301483348370025,3
Go,dev,6,1,0.028911229282029716,4
Go,dev,0,9,0.029133926271515564,4
Go,dev,6,3,0.028340683701005176,5
Go,dev,2,9,0.06585118664156275,6
Go,dev,1,9,0.04766244427443489,7
Go,stand,4,9,0.05179283421613734,0
Go,stand,5,9,0.024164284623113597,0
Go,stand,2,8,0.06967285765791753,1
Go,stand,6,10,0.059223875911288415,2
Go,stand,2,6,0.04803875280800174,3
Go,stand,5,6,0.039816269822792405,4
Go,stand,0,10,0.03896964474809339,4
Go,stand,6,5,0.026628228489161243,5
Go,stand,2,9,0.07634649429390761,6
Go,stand,1,8,0.05315870401081413,7
Kr,dev,4,10,0.03680944450881629,0
Kr,dev,7,9,0.06448460979059889,2
Kr,dev,2,8,0.10792949242607985,6
Kr,dev,1,12,0.07546155745366523,7
Kr,stand,4,9,0.03410078480912393,0
Kr,stand,2,9,0.09397180683169193,6
Kr,stand,2,11,0.06557779096507721,7
